tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
614,1/1/2015 0:14,1/1/2015 0:24,285,Broadway & E 14 St,40.73454567,-73.99074142,312,Allen St & E Houston St,40.722055,-73.989111,19202,Subscriber,1959,1
1196,1/1/2015 0:16,1/1/2015 0:36,466,W 25 St & 6 Ave,40.74395411,-73.99144871,454,E 51 St & 1 Ave,40.75455731,-73.96592976,20683,Subscriber,1971,1
1426,1/1/2015 0:17,1/1/2015 0:40,360,William St & Pine St,40.70717936,-74.00887308,391,Clark St & Henry St,40.69760127,-73.99344559,21554,Subscriber,1977,1
1262,1/1/2015 0:18,1/1/2015 0:39,485,W 37 St & 5 Ave,40.75038009,-73.98338988,251,Mott St & Prince St,40.72317958,-73.99480012,16894,Subscriber,1980,1
707,1/1/2015 0:18,1/1/2015 0:30,449,W 52 St & 9 Ave,40.76461837,-73.98789473,509,9 Ave & W 22 St,40.7454973,-74.00197139,14598,Subscriber,1972,1
307,1/1/2015 0:18,1/1/2015 0:23,474,5 Ave & E 29 St,40.7451677,-73.98683077,476,E 31 St & 3 Ave,40.74394314,-73.97966069,18834,Subscriber,1962,1
1053,1/1/2015 0:19,1/1/2015 0:37,164,E 47 St & 2 Ave,40.75323098,-73.97032517,523,W 38 St & 8 Ave,40.75466591,-73.99138152,15617,Subscriber,1987,1
446,1/1/2015 0:20,1/1/2015 0:27,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,518,E 39 St & 2 Ave,40.74780373,-73.9734419,15812,Subscriber,1988,1
1251,1/1/2015 0:21,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,19780,Customer,,0
797,1/1/2015 0:21,1/1/2015 0:35,513,W 56 St & 10 Ave,40.768254,-73.988639,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16761,Subscriber,1969,1
503,1/1/2015 0:21,1/1/2015 0:30,243,Fulton St & Rockwell Pl,40.688226,-73.979382,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,14570,Customer,,0
1639,1/1/2015 0:22,1/1/2015 0:49,382,University Pl & E 14 St,40.73492695,-73.99200509,352,W 56 St & 6 Ave,40.76340613,-73.97722479,18320,Subscriber,1996,2
1175,1/1/2015 0:22,1/1/2015 0:42,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,16610,Customer,,0
470,1/1/2015 0:22,1/1/2015 0:30,243,Fulton St & Rockwell Pl,40.688226,-73.979382,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,20804,Subscriber,1986,1
321,1/1/2015 0:23,1/1/2015 0:29,285,Broadway & E 14 St,40.73454567,-73.99074142,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,15777,Subscriber,1986,1
259,1/1/2015 0:23,1/1/2015 0:27,285,Broadway & E 14 St,40.73454567,-73.99074142,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,21338,Subscriber,1986,1
81,1/1/2015 0:23,1/1/2015 0:24,412,Forsyth St & Canal St,40.7158155,-73.99422366,295,Pike St & E Broadway,40.71406667,-73.99293911,20781,Subscriber,1982,1
123,1/1/2015 0:24,1/1/2015 0:26,3002,South End Ave & Liberty St,40.711512,-74.015756,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,18088,Subscriber,1968,1
968,1/1/2015 0:25,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15577,Customer,,0
697,1/1/2015 0:25,1/1/2015 0:37,146,Hudson St & Reade St,40.71625008,-74.0091059,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20295,Subscriber,1990,1
760,1/1/2015 0:26,1/1/2015 0:39,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2010,Grand St & Greene St,40.72165481,-74.00234737,17342,Subscriber,1985,1
969,1/1/2015 0:27,1/1/2015 0:43,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,16195,Subscriber,1964,1
863,1/1/2015 0:27,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15999,Customer,,0
359,1/1/2015 0:27,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,15085,Subscriber,1968,1
302,1/1/2015 0:27,1/1/2015 0:32,509,9 Ave & W 22 St,40.7454973,-74.00197139,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17621,Subscriber,1989,1
267,1/1/2015 0:27,1/1/2015 0:32,150,E 2 St & Avenue C,40.7208736,-73.98085795,433,E 13 St & Avenue A,40.72955361,-73.98057249,15720,Subscriber,1990,1
116,1/1/2015 0:27,1/1/2015 0:29,428,E 3 St & 1 Ave,40.72467721,-73.98783413,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15828,Subscriber,1987,1
1114,1/1/2015 0:28,1/1/2015 0:47,422,W 59 St & 10 Ave,40.770513,-73.988038,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16676,Subscriber,1989,2
348,1/1/2015 0:28,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,21439,Subscriber,1979,1
325,1/1/2015 0:28,1/1/2015 0:34,386,Centre St & Worth St,40.71494807,-74.00234482,250,Lafayette St & Jersey St,40.72456089,-73.99565293,17276,Subscriber,1972,1
199,1/1/2015 0:28,1/1/2015 0:31,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3002,South End Ave & Liberty St,40.711512,-74.015756,18088,Subscriber,1968,1
420,1/1/2015 0:29,1/1/2015 0:36,536,1 Ave & E 30 St,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,15864,Subscriber,1969,2
215,1/1/2015 0:29,1/1/2015 0:33,282,Kent Ave & S 11 St,40.70827295,-73.96834101,389,Broadway & Berry St,40.71044554,-73.96525063,17034,Subscriber,1981,2
623,1/1/2015 0:31,1/1/2015 0:41,285,Broadway & E 14 St,40.73454567,-73.99074142,545,E 23 St & 1 Ave,40.736502,-73.97809472,19764,Subscriber,1986,2
811,1/1/2015 0:32,1/1/2015 0:45,312,Allen St & E Houston St,40.722055,-73.989111,116,W 17 St & 8 Ave,40.74177603,-74.00149746,16106,Subscriber,1989,1
808,1/1/2015 0:32,1/1/2015 0:46,326,E 11 St & 1 Ave,40.72953837,-73.98426726,404,9 Ave & W 14 St,40.7405826,-74.00550867,19296,Subscriber,1971,1
527,1/1/2015 0:32,1/1/2015 0:40,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,261,Johnson St & Gold St,40.69474881,-73.98362464,17898,Subscriber,1980,1
486,1/1/2015 0:32,1/1/2015 0:40,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,261,Johnson St & Gold St,40.69474881,-73.98362464,20782,Subscriber,1982,2
232,1/1/2015 0:32,1/1/2015 0:36,293,Lafayette St & E 8 St,40.73028666,-73.9907647,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,19506,Subscriber,1993,1
1111,1/1/2015 0:33,1/1/2015 0:52,512,W 29 St & 9 Ave,40.7500727,-73.99839279,285,Broadway & E 14 St,40.73454567,-73.99074142,20084,Subscriber,1973,1
409,1/1/2015 0:34,1/1/2015 0:41,168,W 18 St & 6 Ave,40.73971301,-73.99456405,509,9 Ave & W 22 St,40.7454973,-74.00197139,19078,Subscriber,1976,1
1929,1/1/2015 0:35,1/1/2015 1:07,495,W 47 St & 10 Ave,40.76269882,-73.99301222,499,Broadway & W 60 St,40.76915505,-73.98191841,14906,Subscriber,1986,2
1025,1/1/2015 0:35,1/1/2015 0:52,128,MacDougal St & Prince St,40.72710258,-74.00297088,128,MacDougal St & Prince St,40.72710258,-74.00297088,19469,Subscriber,1988,1
925,1/1/2015 0:35,1/1/2015 0:50,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,17732,Subscriber,1969,1
840,1/1/2015 0:35,1/1/2015 0:49,489,10 Ave & W 28 St,40.75066386,-74.00176802,519,Pershing Square North,40.751873,-73.977706,17061,Subscriber,1985,1
598,1/1/2015 0:35,1/1/2015 0:45,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,18029,Subscriber,1988,1
583,1/1/2015 0:35,1/1/2015 0:45,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,16751,Subscriber,1988,2
297,1/1/2015 0:35,1/1/2015 0:40,470,W 20 St & 8 Ave,40.74345335,-74.00004031,489,10 Ave & W 28 St,40.75066386,-74.00176802,21012,Subscriber,1957,1
280,1/1/2015 0:36,1/1/2015 0:41,403,E 2 St & 2 Ave,40.72502876,-73.99069656,531,Forsyth St & Broome St,40.71893904,-73.99266288,17587,Subscriber,1968,1
989,1/1/2015 0:37,1/1/2015 0:54,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,17599,Subscriber,1981,1
354,1/1/2015 0:37,1/1/2015 0:43,334,W 20 St & 7 Ave,40.74238787,-73.99726235,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15596,Subscriber,1954,2
1770,1/1/2015 0:38,1/1/2015 1:07,495,W 47 St & 10 Ave,40.76269882,-73.99301222,499,Broadway & W 60 St,40.76915505,-73.98191841,19605,Customer,,0
326,1/1/2015 0:38,1/1/2015 0:43,334,W 20 St & 7 Ave,40.74238787,-73.99726235,494,W 26 St & 8 Ave,40.74734825,-73.99723551,14541,Subscriber,1936,1
485,1/1/2015 0:39,1/1/2015 0:47,521,8 Ave & W 31 St,40.75044999,-73.99481051,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18718,Subscriber,1968,1
126,1/1/2015 0:39,1/1/2015 0:41,480,W 53 St & 10 Ave,40.76669671,-73.99061728,449,W 52 St & 9 Ave,40.76461837,-73.98789473,18082,Subscriber,1986,1
249,1/1/2015 0:40,1/1/2015 0:44,368,Carmine St & 6 Ave,40.73038599,-74.00214988,358,Christopher St & Greenwich St,40.73291553,-74.00711384,18666,Subscriber,1974,1
3398,1/1/2015 0:41,1/1/2015 1:38,479,9 Ave & W 45 St,40.76019252,-73.9912551,147,Greenwich St & Warren St,40.71542197,-74.01121978,14802,Customer,,0
3443,1/1/2015 0:42,1/1/2015 1:39,479,9 Ave & W 45 St,40.76019252,-73.9912551,147,Greenwich St & Warren St,40.71542197,-74.01121978,21146,Customer,,0
1446,1/1/2015 0:42,1/1/2015 1:06,82,St James Pl & Pearl St,40.71117416,-74.00016545,394,E 9 St & Avenue C,40.72521311,-73.97768752,15937,Subscriber,1989,1
241,1/1/2015 0:42,1/1/2015 0:46,524,W 43 St & 6 Ave,40.75527307,-73.98316936,485,W 37 St & 5 Ave,40.75038009,-73.98338988,17805,Subscriber,1979,1
2889,1/1/2015 0:43,1/1/2015 1:32,467,Dean St & 4 Ave,40.68312489,-73.97895137,387,Centre St & Chambers St,40.71273266,-74.0046073,18039,Customer,,0
692,1/1/2015 0:43,1/1/2015 0:55,212,W 16 St & The High Line,40.74334935,-74.00681753,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,18777,Subscriber,1979,1
487,1/1/2015 0:43,1/1/2015 0:51,518,E 39 St & 2 Ave,40.74780373,-73.9734419,2003,1 Ave & E 18 St,40.73416059,-73.98024289,15456,Subscriber,1989,2
365,1/1/2015 0:43,1/1/2015 0:49,496,E 16 St & 5 Ave,40.73726186,-73.99238967,383,Greenwich Ave & Charles St,40.735238,-74.000271,19245,Subscriber,1976,1
2850,1/1/2015 0:44,1/1/2015 1:32,467,Dean St & 4 Ave,40.68312489,-73.97895137,387,Centre St & Chambers St,40.71273266,-74.0046073,21321,Customer,,0
913,1/1/2015 0:44,1/1/2015 1:00,402,Broadway & E 22 St,40.7403432,-73.98955109,473,Rivington St & Chrystie St,40.72110063,-73.9919254,16242,Subscriber,1989,1
240,1/1/2015 0:44,1/1/2015 0:48,480,W 53 St & 10 Ave,40.76669671,-73.99061728,530,11 Ave & W 59 St,40.771522,-73.990541,17801,Subscriber,1985,1
203,1/1/2015 0:44,1/1/2015 0:47,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,229,Great Jones St,40.72743423,-73.99379025,16947,Subscriber,1979,1
2811,1/1/2015 0:46,1/1/2015 1:33,406,Hicks St & Montague St,40.69512845,-73.99595065,441,E 52 St & 2 Ave,40.756014,-73.967416,14726,Subscriber,1985,1
1058,1/1/2015 0:46,1/1/2015 1:04,499,Broadway & W 60 St,40.76915505,-73.98191841,160,E 37 St & Lexington Ave,40.748238,-73.978311,21113,Subscriber,1986,2
1020,1/1/2015 0:46,1/1/2015 1:03,499,Broadway & W 60 St,40.76915505,-73.98191841,160,E 37 St & Lexington Ave,40.748238,-73.978311,14709,Subscriber,1986,2
376,1/1/2015 0:46,1/1/2015 0:52,312,Allen St & E Houston St,40.722055,-73.989111,502,Henry St & Grand St,40.714215,-73.981346,18878,Subscriber,1970,1
336,1/1/2015 0:46,1/1/2015 0:51,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,509,9 Ave & W 22 St,40.7454973,-74.00197139,16606,Subscriber,1965,1
306,1/1/2015 0:46,1/1/2015 0:51,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,14633,Subscriber,1979,2
599,1/1/2015 0:47,1/1/2015 0:57,168,W 18 St & 6 Ave,40.73971301,-73.99456405,439,E 4 St & 2 Ave,40.7262807,-73.98978041,20188,Subscriber,1976,2
255,1/1/2015 0:47,1/1/2015 0:51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18155,Subscriber,1968,1
232,1/1/2015 0:47,1/1/2015 0:51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18082,Subscriber,1966,1
852,1/1/2015 0:48,1/1/2015 1:03,362,Broadway & W 37 St,40.75172632,-73.98753523,509,9 Ave & W 22 St,40.7454973,-74.00197139,17988,Subscriber,1965,1
326,1/1/2015 0:48,1/1/2015 0:54,293,Lafayette St & E 8 St,40.73028666,-73.9907647,403,E 2 St & 2 Ave,40.72502876,-73.99069656,14686,Subscriber,1969,2
1593,1/1/2015 0:49,1/1/2015 1:15,497,E 17 St & Broadway,40.73704984,-73.99009296,521,8 Ave & W 31 St,40.75044999,-73.99481051,20786,Subscriber,1971,1
265,1/1/2015 0:49,1/1/2015 0:53,509,9 Ave & W 22 St,40.7454973,-74.00197139,482,W 15 St & 7 Ave,40.73935542,-73.99931783,15365,Subscriber,1956,1
243,1/1/2015 0:49,1/1/2015 0:53,2004,6 Ave & Broome St,40.724399,-74.004704,348,W Broadway & Spring St,40.72490985,-74.00154702,17398,Subscriber,1955,1
107,1/1/2015 0:49,1/1/2015 0:51,212,W 16 St & The High Line,40.74334935,-74.00681753,463,9 Ave & W 16 St,40.74206539,-74.00443172,18892,Subscriber,1980,1
536,1/1/2015 0:51,1/1/2015 1:00,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16101,Subscriber,1971,1
405,1/1/2015 0:52,1/1/2015 0:58,513,W 56 St & 10 Ave,40.768254,-73.988639,508,W 46 St & 11 Ave,40.76341379,-73.99667444,15606,Subscriber,1985,1
699,1/1/2015 0:53,1/1/2015 1:05,335,Washington Pl & Broadway,40.72903917,-73.99404649,503,E 20 St & Park Ave,40.73827428,-73.98751968,15155,Subscriber,1988,1
575,1/1/2015 0:53,1/1/2015 1:03,509,9 Ave & W 22 St,40.7454973,-74.00197139,382,University Pl & E 14 St,40.73492695,-73.99200509,21639,Subscriber,1989,1
231,1/1/2015 0:53,1/1/2015 0:57,348,W Broadway & Spring St,40.72490985,-74.00154702,128,MacDougal St & Prince St,40.72710258,-74.00297088,14944,Subscriber,1955,1
1561,1/1/2015 0:55,1/1/2015 1:21,470,W 20 St & 8 Ave,40.74345335,-74.00004031,470,W 20 St & 8 Ave,40.74345335,-74.00004031,15986,Subscriber,1964,1
716,1/1/2015 0:55,1/1/2015 1:07,72,W 52 St & 11 Ave,40.76727216,-73.99392888,458,11 Ave & W 27 St,40.751396,-74.005226,20352,Subscriber,1964,1
546,1/1/2015 0:55,1/1/2015 1:04,531,Forsyth St & Broome St,40.71893904,-73.99266288,341,Stanton St & Mangin St,40.71782143,-73.97628939,15081,Subscriber,1964,1
125,1/1/2015 0:55,1/1/2015 0:57,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,439,E 4 St & 2 Ave,40.7262807,-73.98978041,21114,Subscriber,1981,1
391,1/1/2015 0:57,1/1/2015 1:04,359,E 47 St & Park Ave,40.75510267,-73.97498696,305,E 58 St & 3 Ave,40.76095756,-73.96724467,16882,Subscriber,1967,1
1384,1/1/2015 0:58,1/1/2015 1:21,352,W 56 St & 6 Ave,40.76340613,-73.97722479,280,E 10 St & 5 Ave,40.73331967,-73.99510132,17861,Subscriber,1996,2
463,1/1/2015 0:58,1/1/2015 1:06,478,11 Ave & W 41 St,40.76030096,-73.99884222,434,9 Ave & W 18 St,40.74317449,-74.00366443,17911,Subscriber,1983,1
439,1/1/2015 0:58,1/1/2015 1:05,128,MacDougal St & Prince St,40.72710258,-74.00297088,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15904,Subscriber,1955,1
267,1/1/2015 0:58,1/1/2015 1:03,268,Howard St & Centre St,40.71910537,-73.99973337,473,Rivington St & Chrystie St,40.72110063,-73.9919254,17088,Subscriber,1984,1
104,1/1/2015 0:59,1/1/2015 1:01,225,W 14 St & The High Line,40.74195138,-74.00803013,404,9 Ave & W 14 St,40.7405826,-74.00550867,19813,Subscriber,1970,1
1230,1/1/2015 1:01,1/1/2015 1:22,127,Barrow St & Hudson St,40.73172428,-74.00674436,391,Clark St & Henry St,40.69760127,-73.99344559,16782,Subscriber,1971,1
1094,1/1/2015 1:01,1/1/2015 1:19,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,153,E 40 St & 5 Ave,40.75206231,-73.9816324,18592,Customer,,0
280,1/1/2015 1:01,1/1/2015 1:05,361,Allen St & Hester St,40.71605866,-73.99190759,308,St James Pl & Oliver St,40.71307916,-73.99851193,15601,Subscriber,1960,1
246,1/1/2015 1:01,1/1/2015 1:06,326,E 11 St & 1 Ave,40.72953837,-73.98426726,394,E 9 St & Avenue C,40.72521311,-73.97768752,17400,Subscriber,1987,1
608,1/1/2015 1:02,1/1/2015 1:13,464,E 56 St & 3 Ave,40.75934501,-73.96759673,528,2 Ave & E 31 St,40.74290902,-73.97706058,15006,Subscriber,1985,1
268,1/1/2015 1:02,1/1/2015 1:07,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,16628,Subscriber,1972,1
602,1/1/2015 1:03,1/1/2015 1:14,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,410,Suffolk St & Stanton St,40.72066442,-73.98517977,14839,Subscriber,1979,1
709,1/1/2015 1:04,1/1/2015 1:16,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,528,2 Ave & E 31 St,40.74290902,-73.97706058,17554,Subscriber,1980,1
697,1/1/2015 1:04,1/1/2015 1:16,402,Broadway & E 22 St,40.7403432,-73.98955109,403,E 2 St & 2 Ave,40.72502876,-73.99069656,15794,Subscriber,1986,1
690,1/1/2015 1:05,1/1/2015 1:17,467,Dean St & 4 Ave,40.68312489,-73.97895137,467,Dean St & 4 Ave,40.68312489,-73.97895137,17800,Subscriber,1983,1
521,1/1/2015 1:05,1/1/2015 1:13,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,18447,Subscriber,1984,1
494,1/1/2015 1:05,1/1/2015 1:13,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,17695,Subscriber,1976,1
443,1/1/2015 1:05,1/1/2015 1:13,403,E 2 St & 2 Ave,40.72502876,-73.99069656,483,E 12 St & 3 Ave,40.73223272,-73.98889957,18023,Subscriber,1969,2
417,1/1/2015 1:05,1/1/2015 1:12,350,Clinton St & Grand St,40.71559509,-73.9870295,2009,Catherine St & Monroe St,40.71117444,-73.99682619,18902,Customer,,0
100,1/1/2015 1:06,1/1/2015 1:08,263,Elizabeth St & Hester St,40.71729,-73.996375,268,Howard St & Centre St,40.71910537,-73.99973337,18879,Subscriber,1967,1
658,1/1/2015 1:08,1/1/2015 1:19,472,E 32 St & Park Ave,40.7457121,-73.98194829,489,10 Ave & W 28 St,40.75066386,-74.00176802,19426,Subscriber,1982,2
894,1/1/2015 1:09,1/1/2015 1:23,320,Leonard St & Church St,40.717571,-74.005549,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,20098,Subscriber,1985,1
676,1/1/2015 1:09,1/1/2015 1:20,225,W 14 St & The High Line,40.74195138,-74.00803013,526,E 33 St & 5 Ave,40.74765947,-73.98490707,14957,Subscriber,1988,1
398,1/1/2015 1:09,1/1/2015 1:15,474,5 Ave & E 29 St,40.7451677,-73.98683077,382,University Pl & E 14 St,40.73492695,-73.99200509,19006,Subscriber,1992,1
906,1/1/2015 1:10,1/1/2015 1:26,433,E 13 St & Avenue A,40.72955361,-73.98057249,470,W 20 St & 8 Ave,40.74345335,-74.00004031,14687,Subscriber,1982,1
784,1/1/2015 1:10,1/1/2015 1:23,442,W 27 St & 7 Ave,40.746647,-73.993915,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20852,Subscriber,1962,1
312,1/1/2015 1:10,1/1/2015 1:16,482,W 15 St & 7 Ave,40.73935542,-73.99931783,497,E 17 St & Broadway,40.73704984,-73.99009296,21061,Subscriber,1986,1
891,1/1/2015 1:12,1/1/2015 1:26,312,Allen St & E Houston St,40.722055,-73.989111,511,E 14 St & Avenue B,40.72938685,-73.97772429,16350,Subscriber,1970,1
607,1/1/2015 1:13,1/1/2015 1:23,254,W 11 St & 6 Ave,40.73532427,-73.99800419,462,W 22 St & 10 Ave,40.74691959,-74.00451887,15685,Subscriber,1980,1
597,1/1/2015 1:13,1/1/2015 1:23,254,W 11 St & 6 Ave,40.73532427,-73.99800419,462,W 22 St & 10 Ave,40.74691959,-74.00451887,20358,Subscriber,1979,2
593,1/1/2015 1:13,1/1/2015 1:23,521,8 Ave & W 31 St,40.75044999,-73.99481051,450,W 49 St & 8 Ave,40.76227205,-73.98788205,19306,Subscriber,1980,2
588,1/1/2015 1:13,1/1/2015 1:23,521,8 Ave & W 31 St,40.75044999,-73.99481051,450,W 49 St & 8 Ave,40.76227205,-73.98788205,14843,Subscriber,1978,1
494,1/1/2015 1:13,1/1/2015 1:21,488,W 39 St & 9 Ave,40.75645824,-73.99372222,446,W 24 St & 7 Ave,40.74487634,-73.99529885,20304,Subscriber,1981,1
282,1/1/2015 1:13,1/1/2015 1:18,439,E 4 St & 2 Ave,40.7262807,-73.98978041,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,18137,Subscriber,1981,1
528,1/1/2015 1:14,1/1/2015 1:23,503,E 20 St & Park Ave,40.73827428,-73.98751968,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,16386,Subscriber,1962,1
524,1/1/2015 1:14,1/1/2015 1:23,116,W 17 St & 8 Ave,40.74177603,-74.00149746,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14619,Subscriber,1973,1
419,1/1/2015 1:15,1/1/2015 1:22,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,168,W 18 St & 6 Ave,40.73971301,-73.99456405,19309,Subscriber,1980,1
418,1/1/2015 1:15,1/1/2015 1:22,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,168,W 18 St & 6 Ave,40.73971301,-73.99456405,20899,Subscriber,1984,2
332,1/1/2015 1:15,1/1/2015 1:20,147,Greenwich St & Warren St,40.71542197,-74.01121978,146,Hudson St & Reade St,40.71625008,-74.0091059,20935,Subscriber,1983,2
702,1/1/2015 1:16,1/1/2015 1:28,168,W 18 St & 6 Ave,40.73971301,-73.99456405,317,E 6 St & Avenue B,40.72453734,-73.98185424,21435,Subscriber,1985,1
